WKT,LEVEL,h3_index,COMP_WALK_1,COMP_WALK_2,COMP_WALK_3,COMP_WALK_4,COMP_WALK_5,COMP_WALK_6
"POLYGON ((-3.75738682590006 40.3894771234647,-3.75820951672327 40.3892195794493,-3.75832655703165 40.388516364283,-3.75762091932702 40.3880706989275,-3.75679824353887 40.3883282429311,-3.75668119042048 40.389031452302,-3.75738682590006 40.3894771234647))",10,8a390cba8217fff,20.0136260398454,3.47264957457483,-0.919860229279351,0.181990379784274,1.90565591935919,0.256939935963119
"POLYGON ((-3.75585850726206 40.389288984566,-3.75668119042048 40.389031452302,-3.75679824353887 40.3883282429311,-3.75609262630838 40.38788257162,-3.75526995818521 40.3881401038727,-3.75515289225746 40.3888433074478,-3.75585850726206 40.389288984566))",10,8a390cba821ffff,20.5361195113019,3.67370490911914,-1.05913923585988,0.11142254440367,1.93280896417359,0.165219572346206
"POLYGON ((-3.75703566980536 40.3915867450955,-3.75785838303537 40.3913292128084,-3.75797542972517 40.3906260037122,-3.75726977599579 40.3901803326985,-3.75644707780177 40.390437864974,-3.75633001830134 40.3911410682748,-3.75703566980536 40.3915867450955))",10,8a390cba8227fff,19.5492481008043,3.44636776104162,-1.19442176576074,0.0247568959522028,1.26534061679037,0.811928575471227
"POLYGON ((-3.75550731273683 40.3913985888101,-3.75633001830134 40.3911410682748,-3.75644707780177 40.390437864974,-3.75574144454781 40.3899921880042,-3.75491875401945 40.3902497085284,-3.75480168170907 40.3909529060334,-3.75550731273683 40.3913985888101))",10,8a390cba822ffff,18.5137807626365,3.26083883207536,-0.390105660585153,-0.411037439548179,1.45781098822998,1.10616801456029
"POLYGON ((-3.76491568375327 40.3957858297956,-3.76573847274305 40.3955282504562,-3.76585545853087 40.3948250186008,-3.76514966814423 40.3943793718782,-3.76432689419088 40.3946369512037,-3.76420989558792 40.3953401772657,-3.76491568375327 40.3957858297956))",10,8a390cba816ffff,11.9973152129084,1.56671389912899,-0.565566925126557,0.29624511140308,1.55817748929157,-1.23596406006979
"POLYGON ((-3.75245068302946 40.3910222231181,-3.75327337325994 40.3907647260853,-3.7533904583796 40.3900615343763,-3.75268486607763 40.3896158454965,-3.75186219088365 40.3898733425191,-3.75174509295535 40.3905765284316,-3.75245068302946 40.3910222231181))",10,8a390cba8247fff,22.7544353673996,4.59546920298132,-1.51629622559974,-0.432027875290665,1.18802870986317,0.309189332590909
"POLYGON ((-3.75092241039343 40.3908340137138,-3.75174509295535 40.3905765284316,-3.75186219088365 40.3898733425191,-3.7511566190582 40.3894276476854,-3.75033395153296 40.3896851329577,-3.75021684079668 40.3903883130735,-3.75092241039343 40.3908340137138))",10,8a390cba824ffff,22.8073007431774,4.55315197959792,-1.52355969582534,-0.416335275303213,1.17278082477846,0.31531049615165
"POLYGON ((-3.7533904583796 40.3900615343763,-3.7542131412413 40.3898040256032,-3.75433021676486 40.3891008279609,-3.75362462223559 40.3886551448879,-3.75280195440986 40.3889126536505,-3.75268486607763 40.3896158454965,-3.7533904583796 40.3900615343763))",10,8a390cba8257fff,20.6423239811758,4.16963570582118,-1.63594060570077,-0.207972726496239,1.18597383808152,0.327282323102679
"POLYGON ((-3.75186219088365 40.3898733425191,-3.75268486607763 40.3896158454965,-3.75280195440986 40.3889126536505,-3.75209638035631 40.3884669646235,-3.75127372019845 40.3887244616359,-3.7511566190582 40.3894276476854,-3.75186219088365 40.3898733425191))",10,8a390cba825ffff,21.936174335467,4.40030829258382,-1.64751039668807,-0.292170163159934,1.1575311592052,0.294214235077238
"POLYGON ((-3.75303919663696 40.3921711034319,-3.7538619019043 40.3919136063887,-3.75397898381107 40.3912104148173,-3.75327337325994 40.3907647260853,-3.75245068302946 40.3910222231181,-3.75233358831344 40.3917254088933,-3.75303919663696 40.3921711034319))",10,8a390cba8267fff,21.4455930945205,4.07473111059857,-0.62881387111511,-0.612922119084132,1.48388108674523,0.89284245874414
