WKT,LEVEL,h3_index,COMP_CAR_1,COMP_CAR_2,COMP_CAR_3,COMP_CAR_4,COMP_CAR_5,COMP_CAR_6,COMP_CAR_7
"POLYGON ((-3.63091609790964 40.4416257841856,-3.63267992684759 40.440410614135,-3.63221173219774 40.4385591466552,-3.62997982232677 40.4379228668272,-3.62821605010806 40.4391380080004,-3.62868413104049 40.4409894578778,-3.63091609790964 40.4416257841856))",9,89390ca256fffff,1.12073399774761,1.89333344576177,0.114883705415803,-0.109205364087906,-0.937581263994462,-0.843391335495527,2.05995738948003
"POLYGON ((-3.63631693528136 40.446601279065,-3.63808087764327 40.445386051254,-3.63761249244165 40.4435345740699,-3.63538027861245 40.4428983422867,-3.63361639296009 40.4441135412164,-3.63408466442678 40.4459650008095,-3.63631693528136 40.446601279065))",9,89390ca2573ffff,1.08732873537702,1.88863246568724,0.120140674798194,0.195314577514732,-0.849072754755906,-0.83880825600011,1.86456174863485
"POLYGON ((-3.63232070330128 40.4471801405149,-3.63408466442678 40.4459650008095,-3.63361639296009 40.4441135412164,-3.6313842741025 40.4434772389273,-3.62962036970033 40.4446923497571,-3.63008852743181 40.4465437917505,-3.63232070330128 40.4471801405149))",9,89390ca2577ffff,1.13308287666551,1.70367359164439,0.116441860194902,0.130976323347071,-0.968656591146549,-0.715126744283877,1.75658757011437
"POLYGON ((-3.64430962781378 40.4454430802897,-3.64607353259392 40.4442276762694,-3.64560491992337 40.442376163929,-3.64337251620643 40.4417400731817,-3.64160866810831 40.4429554483099,-3.64207716704454 40.4448069430765,-3.64430962781378 40.4454430802897))",9,89390ca2543ffff,1.02453404701567,2.02928308542756,0.109481742060061,-0.101873781738393,-0.679789819928495,-0.793985418336815,1.61479076392332
"POLYGON ((-3.64182888158989 40.4601977733907,-3.64359314507363 40.4589825774117,-3.64312451081555 40.4571311113297,-3.64089172685242 40.4564948588052,-3.63912752008155 40.4577100259045,-3.63959604056036 40.4595614744069,-3.64182888158989 40.4601977733907))",9,89390ca2583ffff,1.15007972860771,1.58962317685084,0.117158058426597,0.132303467099712,-1.14318167156239,-0.978684508465037,1.7324014817613
"POLYGON ((-3.63783175828055 40.4607765822519,-3.63959604056036 40.4595614744069,-3.63912752008155 40.4577100259045,-3.63689483110187 40.4570737028343,-3.6351306055487 40.4582887818051,-3.63559901224797 40.4601402127192,-3.63783175828055 40.4607765822519))",9,89390ca2587ffff,1.15081657828478,1.5923637485063,0.116920761915202,0.134455736932668,-1.14538541999284,-0.977361859196335,1.7347041884438
"POLYGON ((-3.64312451081555 40.4571311113297,-3.6448886987859 40.4559158561024,-3.64442004608976 40.4540643772352,-3.64218731919289 40.4534281711708,-3.64042318792648 40.4546433975147,-3.64089172685242 40.4564948588052,-3.64312451081555 40.4571311113297))",9,89390ca258bffff,1.0997510436489,1.76973405045419,-0.0131997853056216,0.0683284364436279,-0.943814818818091,-0.91944811204165,1.57108145082102
"POLYGON ((-3.63912752008155 40.4577100259045,-3.64089172685242 40.4564948588052,-3.64042318792648 40.4546433975147,-3.63819055599959 40.4540071209077,-3.63642640594645 40.4552222591292,-3.63689483110187 40.4570737028343,-3.63912752008155 40.4577100259045))",9,89390ca258fffff,1.11948445987512,1.66534846879321,-0.00779918229673117,0.103738166734779,-0.971456444951632,-0.997662929160326,1.68118047231617
"POLYGON ((-3.64453049049346 40.4626855015598,-3.6462948106852 40.4614702766991,-3.64582608108158 40.4596188058386,-3.64359314507363 40.4589825774117,-3.64182888158989 40.4601977733907,-3.64229749740552 40.4620492266773,-3.64453049049346 40.4626855015598))",9,89390ca2593ffff,1.07709427558056,1.80026254995476,-0.0212911096980753,0.0824037033640942,-0.635515523002082,-0.627567432920654,1.65327850906873
"POLYGON ((-3.6405331584039 40.4632643633985,-3.64229749740552 40.4620492266773,-3.64182888158989 40.4601977733907,-3.63959604056036 40.4595614744069,-3.63783175828055 40.4607765822519,-3.63830026030788 40.4626280179559,-3.6405331584039 40.4632643633985))",9,89390ca2597ffff,1.11717334814191,1.8065666420432,-0.0216670969631809,0.104852490956633,-0.553490303859248,-0.53823087546697,1.84312886178901
