WKT,GEOCODE_9,TOTALVIEWS,LEADS,WALK_TRANSPORT_METRO,WALK_TRANSPORT_TRAIN,CAR_TRANSPORT_TRAIN,WALK_TRANSPORT_BUS,AVG_UNITPRICE,MED_UNITPRICE,MED_PRICE,N,STD_TRANSPORT_TRAIN,STD_TRANSPORT_METRO,STD_TRANSPORT_BUS,STD_TRANSPORT_COMMUTING_ALL,STD_TRANSPORT_COMMUTING_RAILWAY,h3_index
"POLYGON ((-3.85440196650382 40.2129161435014,-3.85616001651434 40.211693988149,-3.85568673173818 40.2098410919651,-3.85345551004046 40.2092103682439,-3.85169751567762 40.2104324942912,-3.85217068736421 40.2122853733636,-3.85440196650382 40.2129161435014))","617996733643751423",252.315789473684,3.10526315789474,0,0,95.4504607892116,0,1777.77492035299,1862.74509803922,190000,"19",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c1452fffff
"POLYGON ((-3.85981160655922 40.2178833849974,-3.86156976785014 40.2166611710292,-3.86109629257271 40.2148082645244,-3.85886476911039 40.2141775890868,-3.85710666345719 40.2153997737462,-3.85758002562796 40.2172526631509,-3.85981160655922 40.2178833849974))","617996733644013567",10,0,0,0,96.5887437917549,0,1909.09090909091,1909.09090909091,105000,"1",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14533ffff
"POLYGON ((-3.85582184466089 40.2184747894483,-3.85758002562796 40.2172526631509,-3.85710666345719 40.2153997737462,-3.85487523342588 40.2147690277465,-3.85311710811033 40.2159911247405,-3.85359035717393 40.2178439970364,-3.85582184466089 40.2184747894483))","617996733644275711",153.666666666667,1.73333333333333,0,0,96.4259945031324,0,1354.66506057128,1351.76470588235,137475,"30",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14537ffff
"POLYGON ((-3.80215989214421 40.1946950238168,-3.8039175774391 40.1934737454369,-3.80344594036041 40.1916210166681,-3.80121673100203 40.1909895835015,-3.79945910149585 40.192210832631,-3.79993062555873 40.1940635441765,-3.80215989214421 40.1946950238168))","617996733699850239",185,3,0,0,89.1625907520564,0,1777.88461538462,1777.88461538462,184900,"1",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14887ffff
"POLYGON ((-3.80486092870229 40.1971791964079,-3.80661866978096 40.1959578887757,-3.8061469376375 40.194105154682,-3.8039175774391 40.1934737454369,-3.80215989214421 40.1946950238168,-3.8026315112633 40.196547740693,-3.80486092870229 40.1971791964079))","617996733700898815",66,1,0,0,89.4067146849901,0,1366.66666666667,1366.66666666667,164000,"1",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14897ffff
"POLYGON ((-3.77412724455811 40.1901885736525,-3.7758848590764 40.1889678210245,-3.77541407206739 40.1871151945977,-3.77318578353177 40.1864833380814,-3.77142822488568 40.1877040614918,-3.77189889890242 40.189556670635,-3.77412724455811 40.1901885736525))","617996733707976703",263.5,4.55555555555556,0,0,84.4172635099038,0,1188.19147145388,1214.28571428571,106000,"18",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14903ffff
"POLYGON ((-3.77541407206739 40.1871151945977,-3.77717161144242 40.1858943835901,-3.77670080641903 40.1840417452885,-3.77447257500328 40.1834099352741,-3.77271509149164 40.1846307170605,-3.77318578353177 40.1864833380814,-3.77541407206739 40.1871151945977))","617996733708500991",773.6,15.6,0,0,84.2271395997685,0,1054.35658110794,1055.2380952381,104300,"5",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c1490bffff
"POLYGON ((-3.77682651005844 40.1926730673868,-3.778584180444 40.1914522855392,-3.77811329845285 40.1895996537197,-3.7758848590764 40.1889678210245,-3.77412724455811 40.1901885736525,-3.77459801354841 40.1920411881942,-3.77682651005844 40.1926730673868))","617996733709025279",245.052631578947,4.36842105263158,0,0,85.0584070493599,0,1310.91353255805,1343.28358208955,121000,"19",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14913ffff
"POLYGON ((-3.77811329845285 40.1895996537197,-3.77987089368634 40.188378813489,-3.77939999368551 40.1865261697873,-3.77717161144242 40.1858943835901,-3.77541407206739 40.1871151945977,-3.7758848590764 40.1889678210245,-3.77811329845285 40.1895996537197))","617996733709549567",203.307692307692,2.61538461538462,0,0,84.5514276168754,0,1309.72845712207,1332.22222222222,144900,"13",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c1491bffff
"POLYGON ((-3.77939999368551 40.1865261697873,-3.78115751377141 40.1853052711831,-3.78068659576521 40.1834526156096,-3.7784582706553 40.182820875911,-3.77670080641903 40.1840417452885,-3.77717161144242 40.1858943835901,-3.77939999368551 40.1865261697873))","617996733713481727",19,1,0,0,84.2271395997685,0,1990,1990,199000,"1",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14957ffff
