WKT,CAR_TRANSPORT_TRAIN,CAR_TRANSPORT_BUS,CAR_TRANSPORT_AIRPORT,CAR_TOURISM,CAR_SPORT,CAR_SHOP,CAR_ROUTING_HIGHWAY,CAR_ROUTING_COMPLEXITY,CAR_PARK,CAR_HOTEL,CAR_HEALTH,CAR_EDUCATION,CAR_CAD_VENUES,CAR_CAD_URBAN_LAND,CAR_CAD_SPORT,CAR_CAD_SCHOOLS,CAR_CAD_RESIDENTIAL,CAR_CAD_RELIGION,CAR_CAD_PUBLIC,CAR_CAD_OFFICE,CAR_CAD_INDUSTRY,CAR_CAD_HOTEL,CAR_CAD_COMMERCE,CAR_CAD_AGRICULTURE,H3_INDEX
"POLYGON ((-3.63761249244165 40.4435345740699,-3.63937635932598 40.4423192870406,-3.63890795568107 40.4404677971139,-3.6366757988771 40.4398316118036,-3.63491198869342 40.4410468699481,-3.63538027861245 40.4428983422867,-3.63761249244165 40.4435345740699))",0.775929107203449,0.557067239702375,0.976447384323078,0.863925832609118,0.427815447923047,0.853186056392518,0.548799106734434,0.139397222139384,0.712156491250559,0.934043491096877,0.584489216900033,0.74677787514974,0.723980890098421,0.892889680941968,0.483143239472093,0.552858092845116,0.656643347138605,0.621547291484385,0.791264474287275,0.620243844358341,0.550884290181893,0.731015496634347,0.594933397719111,0.557485372211581,89390ca257bffff
"POLYGON ((-3.64031324346442 40.4460222589924,-3.64207716704454 40.4448069430765,-3.64160866810831 40.4429554483099,-3.63937635932598 40.4423192870406,-3.63761249244165 40.4435345740699,-3.63808087764327 40.445386051254,-3.64031324346442 40.4460222589924))",0.794135222101691,0.517873433252847,0.976447384323078,0.86047363737996,0.440191473557066,0.842289383766817,0.567211915242636,0.15836667210344,0.721843894883527,0.923921438421366,0.542277571100845,0.747848183416636,0.703020809130912,0.888970233258986,0.505325875196545,0.514272894422691,0.645546680825725,0.586986619618492,0.781966296802158,0.568093368693967,0.517332337600356,0.707019236847134,0.562907463742023,0.583215747552227,89390ca2547ffff
"POLYGON ((-3.64560491992337 40.442376163929,-3.64736874921708 40.4411607007023,-3.64690011812135 40.4393091756251,-3.64466777145659 40.4386731313445,-3.64290399883595 40.4398885656755,-3.64337251620643 40.4417400731817,-3.64560491992337 40.442376163929))",0.81633276640458,0.486252666012639,0.982959430558432,0.811397804680436,0.434771747384535,0.798541848494739,0.56101162299023,0.220175842638393,0.712139433181026,0.890309339424994,0.489577315652442,0.729984973970033,0.667370972814291,0.886807505154556,0.479654520760549,0.428721056222417,0.632401948096861,0.548360532578378,0.714458918169967,0.461516856539332,0.539900139507463,0.652532546600375,0.504847521108133,0.530099353956005,89390ca254bffff
"POLYGON ((-3.64160866810831 40.4429554483099,-3.64337251620643 40.4417400731817,-3.64290399883595 40.4398885656755,-3.64067174709234 40.4392524508759,-3.63890795568107 40.4404677971139,-3.63937635932598 40.4423192870406,-3.64160866810831 40.4429554483099))",0.810894806255399,0.517847968743687,0.976447384323078,0.812213388053403,0.448837090131012,0.827306729408172,0.558590145249312,0.134195814570408,0.72679482662023,0.900776674682308,0.524249424991155,0.740204466526937,0.686530550593444,0.886845362305715,0.478825917801909,0.454884442828399,0.642316872510289,0.568852875823007,0.740038459206675,0.520557993841737,0.541568590825287,0.685022452631981,0.54199592505101,0.512088091217553,89390ca254fffff
"POLYGON ((-3.64701083481946 40.4479306930252,-3.64877479627674 40.4467152601108,-3.64830608829272 40.4448637429494,-3.64607353259392 40.4442276762694,-3.64430962781378 40.4454430802897,-3.64477822205475 40.447294579883,-3.64701083481946 40.4479306930252))",0.798299493298652,0.430214829261027,0.976447384323078,0.809355135705383,0.436354155862534,0.800395412865281,0.555935648177644,0.175265340057471,0.673158262728998,0.886365907238409,0.479362201002121,0.709071599380655,0.669123752917122,0.867944609166878,0.507046304716336,0.451899942679848,0.608399703531396,0.538466880501803,0.710723782634381,0.455104607956504,0.484546850251187,0.646522318847493,0.492215162980359,0.53267239149007,89390ca2553ffff
"POLYGON ((-3.6430142417837 40.4485099246875,-3.64477822205475 40.447294579883,-3.64430962781378 40.4454430802897,-3.64207716704454 40.4448069430765,-3.64031324346442 40.4460222589924,-3.64078172396204 40.447873741009,-3.6430142417837 40.4485099246875))",0.792814510635846,0.4511043215699,0.976447384323078,0.829711255010398,0.448694532296309,0.834477327688293,0.558630813411474,0.190699565672065,0.681422818110569,0.909515449759436,0.516636414745235,0.713039186572036,0.692518962933437,0.867167552423653,0.506208868884402,0.491974250163198,0.61345501124846,0.568399696172285,0.750185911742649,0.529441690210265,0.484019315592864,0.689993954771237,0.534409954475304,0.583215747552227,89390ca2557ffff
"POLYGON ((-3.64830608829272 40.4448637429494,-3.65006997425466 40.4436482508251,-3.64960124785014 40.4417967209195,-3.64736874921708 40.4411607007023,-3.64560491992337 40.442376163929,-3.64607353259392 40.4442276762694,-3.64830608829272 40.4448637429494))",0.78475710753818,0.42102447542696,0.975393512251968,0.754224559697088,0.44638261603048,0.782008335847928,0.565914761992898,0.252326767541782,0.698454339419976,0.860716605424742,0.472798846792499,0.723397924779191,0.644930755716212,0.966827215181132,0.504331679142843,0.420101977294585,0.620780174250971,0.525654547414335,0.576988857127221,0.375539845046564,0.487435380298585,0.618674006561079,0.486035787452502,0.532439476406533,89390ca255bffff
"POLYGON ((-3.63361639296009 40.4441135412164,-3.63538027861245 40.4428983422867,-3.63491198869342 40.4410468699481,-3.63267992684759 40.440410614135,-3.63091609790964 40.4416257841856,-3.6313842741025 40.4434772389273,-3.63361639296009 40.4441135412164))",0.762439269580988,0.642688258570611,0.969935338087724,0.872483278443357,0.419964799440327,0.877885690892292,0.551497225279019,0.194113110624844,0.718591076136098,0.941075315313628,0.647488774543,0.755405262102325,0.756646656128582,0.907649159556331,0.485741290196172,0.561357314782894,0.692882156942325,0.671963403856309,0.847684852262744,0.66356318633597,0.586981199620979,0.779905180682543,0.663050762861201,0.557485372211581,89390ca2563ffff
"POLYGON ((-3.62962036970033 40.4446923497571,-3.6313842741025 40.4434772389273,-3.63091609790964 40.4416257841856,-3.62868413104049 40.4409894578778,-3.62692028336647 40.4422045398338,-3.62738834583288 40.4440559769702,-3.62962036970033 40.4446923497571))",0.766154034064992,0.67535328288177,0.976447384323078,0.880686388446767,0.457938704879145,0.898740195033293,0.55146724481002,0.116857946509267,0.746475797561463,0.951149532954451,0.682145503634888,0.764167948167901,0.768913046347911,0.914113889037182,0.489252940539508,0.617728077358306,0.713408370189313,0.689622527227502,0.858447563034665,0.686252404113131,0.594392520949232,0.809168909423802,0.6938981122867,0.516014544075096,89390ca2567ffff
"POLYGON ((-3.63491198869342 40.4410468699481,-3.6366757988771 40.4398316118036,-3.63620749051012 40.4379801267298,-3.63397548567597 40.4373439173934,-3.63221173219774 40.4385591466552,-3.63267992684759 40.440410614135,-3.63491198869342 40.4410468699481))",0.790957128393844,0.51628158313726,0.969935338087724,0.83874009717667,0.42210817142492,0.83050438187498,0.386814495267402,0.222488693344335,0.696528643236363,0.939252604769046,0.543483599690982,0.752975579649961,0.70996636611373,0.903729711873349,0.492196208583059,0.498912930616597,0.649669305871681,0.604302250355806,0.798270217645262,0.606584451559345,0.584980473258976,0.725205722596748,0.579339037903139,0.557485372211581,89390ca256bffff
